[0, -0.037, 0, 0, 0, 0, 0]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), 0, np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1), np.float64(-0.037), np.float64(0.0), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.10064351719926723), np.float64(-0.036999999999999984), np.float64(0.0033633217993079586), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.10249069814777122), np.float64(-0.037), np.float64(0.00639446366782007), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.10541648687156525), np.float64(-0.03700000000000001), np.float64(0.009093425605536333), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.10929582739670264), np.float64(-0.037000000000000005), np.float64(0.011460207612456749), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1140036637492367), np.float64(-0.03699999999999999), np.float64(0.013494809688581313), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.11941493995522084), np.float64(-0.037), np.float64(0.015197231833910037), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.12540460004070833), np.float64(-0.037000000000000005), np.float64(0.01656747404844291), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1318475880317525), np.float64(-0.037), np.float64(0.01760553633217993), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.13861884795440665), np.float64(-0.03699999999999999), np.float64(0.018311418685121105), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1455933238347242), np.float64(-0.037), np.float64(0.018685121107266438), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.15264595969875838), np.float64(-0.037), np.float64(0.01872664359861592), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1596516995725626), np.float64(-0.03699999999999999), np.float64(0.01843598615916955), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1664854874821901), np.float64(-0.03699999999999999), np.float64(0.017813148788927334), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1730222674536943), np.float64(-0.037), np.float64(0.016858131487889273), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.17913698351312846), np.float64(-0.03699999999999999), np.float64(0.015570934256055359), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.1847045796865459), np.float64(-0.03699999999999999), np.float64(0.013951557093425597), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
[np.float64(0.18960000000000005), np.float64(-0.037000000000000005), np.float64(0.01199999999999999), np.float64(0.0), np.float64(1.0), np.float64(0.0), np.float64(0.0)]
